ContractID,CustID,CountyID,FacilityID,Start Date,MRR,SLADays,End Date
82800105,7908,6037,300105,8/12/2014 0:00,"$1,834.00 ",1,12/31/2999 0:00
27600229,7033,6037,300229,1/8/2015 0:00,"$4,620.00 ",1,12/31/2999 0:00
64400230,2552,6037,300230,7/26/2017 0:00,"$14,730.00 ",1,12/31/2999 0:00
18400257,1816,6037,200257,3/3/2015 0:00,"$3,765.00 ",1,12/31/2999 0:00
73600353,6680,6037,800353,2/3/2016 0:00,"$3,650.00 ",1,12/31/2999 0:00
46000435,6218,6037,600435,1/21/2017 0:00,"$1,554.00 ",1,12/31/2999 0:00
18400598,2673,6037,600598,12/30/2017 0:00,"$16,020.00 ",1,12/31/2999 0:00
27600846,7561,6037,400846,9/20/2017 0:00,"$4,325.00 ",1,12/31/2999 0:00
9201078,2126,6037,201078,5/13/2016 0:00,"$3,213.00 ",1,12/31/2999 0:00
36801509,7157,6037,201509,4/29/2017 0:00,"$1,143.00 ",1,12/31/2999 0:00
64401523,7290,6037,101523,11/5/2017 0:00,"$1,773.00 ",1,12/31/2999 0:00
18402006,5032,6037,302006,12/10/2017 0:00,"$14,260.00 ",1,12/31/2999 0:00
27602197,6830,6037,702197,11/7/2012 0:00,$306.00 ,1,12/31/2999 0:00
9202288,6861,6037,802288,12/28/2017 0:00,"$24,015.00 ",1,12/31/2999 0:00
18402490,2764,6037,702490,4/3/2016 0:00,"$2,888.00 ",1,12/31/2999 0:00
64402661,5793,6037,202661,6/17/2018 0:00,$474.00 ,1,12/31/2999 0:00
36802819,3733,6037,802819,11/30/2015 0:00,$521.00 ,1,12/31/2999 0:00
64402951,2124,6037,402951,6/15/2016 0:00,"$6,455.00 ",1,12/31/2999 0:00
64402996,3649,6037,202996,11/14/2016 0:00,"$8,755.00 ",1,12/31/2999 0:00
55203235,5533,6037,303235,7/31/2017 0:00,"$3,355.00 ",1,12/31/2999 0:00
64403632,2031,6037,303632,8/26/2016 0:00,"$10,900.00 ",1,12/31/2999 0:00
27603672,4456,6037,403672,4/5/2017 0:00,"$16,455.00 ",1,12/31/2999 0:00
82804346,1280,6037,104346,10/2/2012 0:00,"$4,713.00 ",1,12/31/2999 0:00
73604358,6176,6037,604358,5/19/2018 0:00,"$1,872.00 ",1,12/31/2999 0:00
46004598,6116,6037,704598,10/28/2017 0:00,$562.00 ,1,12/31/2999 0:00
82804756,5799,6037,504756,6/5/2015 0:00,"$1,262.00 ",1,12/31/2999 0:00
18404912,5998,6037,404912,12/29/2017 0:00,$567.00 ,1,12/31/2999 0:00
9204984,3116,6037,404984,12/12/2016 0:00,$953.00 ,1,12/31/2999 0:00
73605201,6001,6037,305201,6/16/2016 0:00,"$1,931.00 ",1,12/31/2999 0:00
55205436,7693,6037,405436,11/17/2017 0:00,$577.00 ,1,12/31/2999 0:00
46005597,3228,6037,505597,6/13/2017 0:00,"$1,486.00 ",1,12/31/2999 0:00
9205787,1267,6037,205787,6/27/2014 0:00,"$17,460.00 ",1,12/31/2999 0:00
73605930,1552,6037,205930,9/2/2014 0:00,"$15,810.00 ",1,12/31/2999 0:00
18405967,7821,6037,405967,9/26/2017 0:00,$576.00 ,1,12/31/2999 0:00
9206004,2747,6037,706004,1/6/2018 0:00,"$3,045.00 ",1,12/31/2999 0:00
73606092,8316,6037,306092,6/18/2017 0:00,$354.00 ,1,12/31/2999 0:00
36806177,6428,6037,406177,10/17/2017 0:00,"$3,228.00 ",1,12/31/2999 0:00
82806459,6839,6037,306459,12/1/2017 0:00,"$1,738.00 ",1,12/31/2999 0:00
82807065,6672,6037,107065,10/21/2016 0:00,"$7,675.00 ",1,12/31/2999 0:00
73607123,2235,6037,507123,3/10/2017 0:00,$521.00 ,1,12/31/2999 0:00
64407319,6600,6037,707319,8/24/2017 0:00,"$5,375.00 ",1,12/31/2999 0:00
9207400,5460,6037,607400,12/27/2016 0:00,"$12,830.00 ",1,12/31/2999 0:00
73607447,2234,6037,507447,5/18/2016 0:00,"$4,458.00 ",1,12/31/2999 0:00
64407683,6751,6037,507683,12/4/2012 0:00,"$10,190.00 ",1,12/31/2999 0:00
9207894,7608,6037,207894,11/27/2017 0:00,"$12,390.00 ",1,12/31/2999 0:00
18407994,6248,6037,607994,3/17/2017 0:00,"$5,300.00 ",1,12/31/2999 0:00
27608054,5749,6037,808054,4/9/2014 0:00,"$9,495.00 ",1,12/31/2999 0:00
64408204,1681,6037,408204,4/4/2017 0:00,"$10,170.00 ",1,12/31/2999 0:00
55208307,3535,6037,108307,8/26/2016 0:00,"$7,115.00 ",1,12/31/2999 0:00
55208619,1873,6037,108619,11/23/2017 0:00,"$4,733.00 ",1,12/31/2999 0:00
55208858,7272,6037,508858,1/14/2018 0:00,$462.00 ,1,12/31/2999 0:00
64408866,1443,6037,608866,1/17/2018 0:00,"$1,706.00 ",1,12/31/2999 0:00
82808927,5128,6037,708927,7/3/2016 0:00,"$1,651.00 ",1,12/31/2999 0:00
